student_id,last_login,registration_date,paid,student_country,student_level,student_coins
1,"2023-01-04 07:03:08","2020-12-11 09:41:57",1,BG,7,221
2,"2023-01-03 09:32:56","2020-12-11 13:13:53",1,BG,4,21
2,"2023-01-03 09:32:56","2020-12-11 13:13:53",1,BG,4,21
3,"2022-09-15 05:49:52","2020-12-11 13:14:08",1,BG,3,51
3,"2022-09-15 05:49:52","2020-12-11 13:14:08",1,BG,3,51
5,"2023-01-04 09:55:51","2020-12-11 13:14:43",1,BG,5,14
5,"2023-01-04 09:55:51","2020-12-11 13:14:43",1,BG,5,14
5,"2023-01-04 09:55:51","2020-12-11 13:14:43",1,BG,5,14
5,"2023-01-04 09:55:51","2020-12-11 13:14:43",1,BG,5,14
5,"2023-01-04 09:55:51","2020-12-11 13:14:43",1,BG,5,14
5,"2023-01-04 09:55:51","2020-12-11 13:14:43",1,BG,5,14
5,"2023-01-04 09:55:51","2020-12-11 13:14:43",1,BG,5,14
5,"2023-01-04 09:55:51","2020-12-11 13:14:43",1,BG,5,14
5,"2023-01-04 09:55:51","2020-12-11 13:14:43",1,BG,5,14
5,"2023-01-04 09:55:51","2020-12-11 13:14:43",1,BG,5,14
5,"2023-01-04 09:55:51","2020-12-11 13:14:43",1,BG,5,14
5,"2023-01-04 09:55:51","2020-12-11 13:14:43",1,BG,5,14
5,"2023-01-04 09:55:51","2020-12-11 13:14:43",1,BG,5,14
5,"2023-01-04 09:55:51","2020-12-11 13:14:43",1,BG,5,14
5,"2023-01-04 09:55:51","2020-12-11 13:14:43",1,BG,5,14
5,"2023-01-04 09:55:51","2020-12-11 13:14:43",1,BG,5,14
5,"2023-01-04 09:55:51","2020-12-11 13:14:43",1,BG,5,14
5,"2023-01-04 09:55:51","2020-12-11 13:14:43",1,BG,5,14
5,"2023-01-04 09:55:51","2020-12-11 13:14:43",1,BG,5,14
5,"2023-01-04 09:55:51","2020-12-11 13:14:43",1,BG,5,14
5,"2023-01-04 09:55:51","2020-12-11 13:14:43",1,BG,5,14
5,"2023-01-04 09:55:51","2020-12-11 13:14:43",1,BG,5,14
5,"2023-01-04 09:55:51","2020-12-11 13:14:43",1,BG,5,14
5,"2023-01-04 09:55:51","2020-12-11 13:14:43",1,BG,5,14
6,"2022-12-28 07:49:31","2020-12-11 13:14:48",1,BG,10,150
6,"2022-12-28 07:49:31","2020-12-11 13:14:48",1,BG,10,150
6,"2022-12-28 07:49:31","2020-12-11 13:14:48",1,BG,10,150
6,"2022-12-28 07:49:31","2020-12-11 13:14:48",1,BG,10,150
6,"2022-12-28 07:49:31","2020-12-11 13:14:48",1,BG,10,150
6,"2022-12-28 07:49:31","2020-12-11 13:14:48",1,BG,10,150
6,"2022-12-28 07:49:31","2020-12-11 13:14:48",1,BG,10,150
6,"2022-12-28 07:49:31","2020-12-11 13:14:48",1,BG,10,150
6,"2022-12-28 07:49:31","2020-12-11 13:14:48",1,BG,10,150
6,"2022-12-28 07:49:31","2020-12-11 13:14:48",1,BG,10,150
6,"2022-12-28 07:49:31","2020-12-11 13:14:48",1,BG,10,150
6,"2022-12-28 07:49:31","2020-12-11 13:14:48",1,BG,10,150
6,"2022-12-28 07:49:31","2020-12-11 13:14:48",1,BG,10,150
6,"2022-12-28 07:49:31","2020-12-11 13:14:48",1,BG,10,150
6,"2022-12-28 07:49:31","2020-12-11 13:14:48",1,BG,10,150
6,"2022-12-28 07:49:31","2020-12-11 13:14:48",1,BG,10,150
6,"2022-12-28 07:49:31","2020-12-11 13:14:48",1,BG,10,150
6,"2022-12-28 07:49:31","2020-12-11 13:14:48",1,BG,10,150
6,"2022-12-28 07:49:31","2020-12-11 13:14:48",1,BG,10,150
6,"2022-12-28 07:49:31","2020-12-11 13:14:48",1,BG,10,150
7,"2022-02-02 15:56:32","2020-12-11 13:14:49",1,BG,1,0
10,"2023-01-03 07:28:51","2020-12-11 13:16:07",1,BG,10,35
13,"2021-03-08 20:02:52","2020-12-11 13:32:18",0,,1,3
13,"2021-03-08 20:02:52","2020-12-11 13:32:18",0,,1,3
13,"2021-03-08 20:02:52","2020-12-11 13:32:18",0,,1,3
13,"2021-03-08 20:02:52","2020-12-11 13:32:18",0,,1,3
13,"2021-03-08 20:02:52","2020-12-11 13:32:18",0,,1,3
13,"2021-03-08 20:02:52","2020-12-11 13:32:18",0,,1,3
13,"2021-03-08 20:02:52","2020-12-11 13:32:18",0,,1,3
31,"2023-01-02 01:34:34","2020-12-11 15:14:32",1,SG,4,32
39,"2022-12-05 17:01:28","2020-12-11 15:36:51",1,PT,3,17
81,"2020-12-17 10:20:51","2020-12-11 16:37:26",0,,1,0
81,"2020-12-17 10:20:51","2020-12-11 16:37:26",0,,1,0
81,"2020-12-17 10:20:51","2020-12-11 16:37:26",0,,1,0
81,"2020-12-17 10:20:51","2020-12-11 16:37:26",0,,1,0
81,"2020-12-17 10:20:51","2020-12-11 16:37:26",0,,1,0
81,"2020-12-17 10:20:51","2020-12-11 16:37:26",0,,1,0
81,"2020-12-17 10:20:51","2020-12-11 16:37:26",0,,1,0
81,"2020-12-17 10:20:51","2020-12-11 16:37:26",0,,1,0
81,"2020-12-17 10:20:51","2020-12-11 16:37:26",0,,1,0
81,"2020-12-17 10:20:51","2020-12-11 16:37:26",0,,1,0
81,"2020-12-17 10:20:51","2020-12-11 16:37:26",0,,1,0
135,"2021-01-21 19:33:45","2020-12-11 18:33:18",0,,2,5
135,"2021-01-21 19:33:45","2020-12-11 18:33:18",0,,2,5
182,"2022-11-09 08:39:30","2020-12-12 04:29:44",0,MM,6,190
182,"2022-11-09 08:39:30","2020-12-12 04:29:44",0,MM,6,190
182,"2022-11-09 08:39:30","2020-12-12 04:29:44",0,MM,6,190
182,"2022-11-09 08:39:30","2020-12-12 04:29:44",0,MM,6,190
182,"2022-11-09 08:39:30","2020-12-12 04:29:44",0,MM,6,190
182,"2022-11-09 08:39:30","2020-12-12 04:29:44",0,MM,6,190
221,"2022-03-02 08:55:44","2020-12-13 01:14:02",0,PT,5,60
235,"2022-11-17 22:51:27","2020-12-14 00:50:59",1,CA,7,292
